n_ws^third_composition_average,AtomicVolume_difference,GSenergy_pa_arithmetic_average,HeatFusion_composition_average,GSenergy_pa_composition_average,ICSDVolume_composition_average,BoilingT_composition_average,MeltingT_composition_average,MeltingT_difference,ShearModulus_min_value,phi_composition_average,BulkModulus_composition_average,ShearModulus_max_value,n_ws^third_max_value,ElasticModulus_composition_average,ElasticModulus_min_value,BulkModulus_min_value,ThermalExpansionCoefficient_max_value,ThermalExpansionCoefficient_composition_average,BoilingT_max_value,BCCefflatcnt_composition_average,HeatVaporization_composition_average,MeltingT_max_value,ElasticModulus_arithmetic_average,BCCvolume_pa_composition_average,AtomicRadii_composition_average,SecondIonizationEnergy_composition_average,MeltingT_min_value,IonicRadii_difference,BCCenergy_pa_arithmetic_average,ICSDVolume_min_value,BCCfermi_composition_average,BCCvolume_padiff_composition_average,HeatFusion_min_value,n_ws^third_arithmetic_average,HeatFusion_max_value,BCCenergy_pa_composition_average,phi_arithmetic_average,CovalentRadii_composition_average,BulkModulus_max_value,IonizationEnergy_composition_average,BoilingT_difference,GSestFCClatcnt_composition_average,IonizationEnergy_difference,GSestBCClatcnt_composition_average,Polarizability_composition_average,ThermalExpansionCoefficient_min_value,ThermalExpansionCoefficient_difference,BoilingT_arithmetic_average,ElasticModulus_max_value,Electronegativity_composition_average,HeatFusion_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,MeltingT_arithmetic_average,BCCfermi_arithmetic_average,ICSDVolume_arithmetic_average,target
1.37,11.392351163726802,-2.611463565,11.893333333333333,-2.96786065,15.666666666666668,2587.666666666667,1212.8466666666666,434.77,17.0,4.116666666666667,108.33333333333331,48.0,1.47,97.46666666666668,44.4,45.0,24.8,19.266666666666666,3200.0,6.129624745666669,242.86666666666667,1357.77,84.2,15.013333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.14782592
0.4657142857142857,18574.150436930217,-8.3040957225,10.605714285714283,-6.783822657857143,17.385714285714286,1701.7857142857142,979.1428571428572,3235.2,69.0,1.1571428571428568,57.14285714285714,69.0,1.63,52.28571428571429,183.0,200.0,780.0,558.9428571428572,5731.0,5.387336189,213.0077857142857,3290.0,91.5,10.412857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.318
1.475,2.2523334778279995,-7.68960867,38.705,-7.68960867,21.2,4024.5,2096.5,819.0,30.0,4.15,105.0,30.0,1.5,150.5,139.0,100.0,5.9,4.25,4876.0,6.603447216,510.035,2506.0,150.5,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.6547424
1.398,16.418788365009707,-5.211646966666667,26.646,-4.961056405,21.22,3109.600000000001,1407.9879999999998,865.53,26.0,4.2,78.6,26.0,1.5,105.88,64.4,41.0,23.1,12.54,3618.0,6.660455733000001,338.5800000000001,1799.0,98.96666666666668,19.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.96392289
1.54,7.570324925877101,-6.8389973033333336,31.38333333333333,-6.8389973033333336,19.033333333333328,3761.666666666667,2007.0166666666669,819.0,30.0,4.583333333333333,130.0,44.0,1.67,142.66666666666669,127.0,100.0,11.8,6.766666666666668,4876.0,6.449095826333332,471.1233333333333,2506.0,142.66666666666669,16.983333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.3478393
1.64,4.655914209878602,-7.182249738333333,34.12833333333334,-7.182249738333333,17.733333333333334,4096.0,2159.4666666666667,1063.0,38.0,4.8,166.66666666666669,61.0,1.78,147.0,104.0,100.0,8.8,6.2333333333333325,5017.0,6.336681337333332,519.85,2750.0,147.0,15.953333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9527933
1.6333333333333333,6.2908679058653005,-7.590628351666666,35.6,-7.590628351666666,16.533333333333335,4052.666666666667,2224.6666666666665,1063.0,38.0,4.716666666666667,216.66666666666669,150.0,1.76,198.66666666666663,104.0,100.0,8.2,6.033333333333332,5017.0,6.283472201333332,514.8299999999998,2750.0,198.66666666666663,15.576666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.4006991
1.362,16.418788365009707,-5.211646966666667,26.782,-5.504891735999999,24.48,3274.8,1581.094,865.53,26.0,4.0,71.6,26.0,1.5,104.66,64.4,41.0,23.1,10.18,3618.0,6.9754319168,359.08,1799.0,98.96666666666668,22.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.14344195
1.5339999999999998,5.653140075804799,-4.6458738450000014,13.418,-4.4657837,14.28,2949.600000000001,1251.2820000000004,794.53,26.0,4.6000000000000005,117.6,76.0,1.75,125.5,70.5,76.0,23.1,19.22,3186.0,6.076589404400001,325.48,1728.0,139.25,14.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.3827659
1.36,0.0,-2.76539356,11.3,-2.76539356,17.0,2435.0,1234.93,0.0,30.0,4.35,100.0,30.0,1.36,80.0,80.0,100.0,18.9,18.9,2435.0,6.375951415,250.63,1234.93,80.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.54035791
1.25,3.2246381817244973,-4.039204715,13.47,-4.039204715,28.6,2367.5,704.43,398.7,18.0,4.275,50.0,20.0,1.26,58.5,50.0,42.0,22.0,16.5,2875.0,7.479252954,179.17000000000004,903.78,58.5,26.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.13337156
1.185,4.949633562365398,-2.807655015,6.855,-2.807655015,19.1,2203.5,693.58,479.78,4.2,3.5250000000000004,43.5,26.0,1.39,40.25,10.0,11.0,46.0,34.55,2792.0,6.442704251,218.95,933.47,40.25,16.715000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79438837
1.4833333333333334,2.2523334778279995,-7.68960867,42.540000000000006,-6.934711781666668,20.8,3740.666666666667,1960.0,819.0,30.0,4.333333333333333,103.33333333333334,30.0,1.5,154.33333333333334,139.0,100.0,5.9,3.7,4876.0,6.455675703333332,459.69000000000005,2506.0,150.5,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.919118
0.66,11.9608620598687,-2.6686083168750003,4.3945,-2.6686083168750003,20.4,948.86,540.52,304.31999999999994,43.0,2.05,38.85,43.0,1.32,57.0,19.0,7.7,70.0,50.1,1180.0,6.197579749,62.65,692.68,57.0,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.25306527
1.5466666666666666,6.171479495632602,-7.1820893475,40.64,-6.596365566666666,17.933333333333334,3342.0,1852.333333333333,496.0,47.0,4.55,120.0,47.0,1.64,151.0,129.0,100.0,8.4,4.533333333333333,3680.0,6.082258777333332,388.23333333333335,2183.0,145.5,14.076666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.49809019999995
1.664,16.184221203299874,-7.582957421666666,42.254,-7.4512326610000015,12.999999999999998,3861.4,2469.6,2009.0,29.0,5.138000000000001,246.0,150.0,1.77,215.4,7.0,33.0,10.0,7.12,4300.0,6.000431973,501.194,3823.0,139.0,14.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9677674
1.6033333333333335,8.81122744351438,-8.4924703875,48.56666666666666,-8.253389298333332,13.6,3806.666666666667,2568.333333333333,1882.0,44.0,4.613333333333333,84.33333333333333,44.0,1.77,75.66666666666666,7.0,33.0,8.6,6.066666666666666,4300.0,5.881442680666666,521.8,3823.0,58.5,13.426666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9378898
1.075,21.357161846676604,-1.380251895,7.375,-1.380251895,32.8,1398.5,854.61,520.78,7.4,3.3,29.5,19.0,1.24,41.5,21.0,17.0,30.8,26.55,1757.0,7.5914019265,127.27,1115.0,41.5,28.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51528555
1.612,4.655914209878602,-5.7267138425000015,38.996,-5.666354675,18.04,3543.0,1828.76,354.40000000000015,61.0,5.08,152.0,61.0,1.78,167.2,162.0,100.0,8.8,5.08,4098.0,6.185726390399999,419.58,2041.4,168.5,14.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.93322719999995
1.375,11.392351163726802,-3.5492817116666666,17.995,-3.258571180833333,17.033333333333335,2583.166666666667,1267.7183333333332,764.0,17.0,4.158333333333333,101.66666666666669,48.0,1.5,103.8,44.4,45.0,24.8,16.950000000000006,3200.0,6.220041608,252.61666666666667,1687.0,110.13333333333333,15.601666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1164322
0.685,4.547828243469,-4.0434157274999984,21.815,-4.0434157274999984,26.0,2025.5,852.7,717.4000000000002,3.7,2.275,4.15,3.7,1.37,67.5,20.0,8.3,45.0,25.35,3093.0,6.7809393695,180.31,1211.4,67.5,19.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.19171070000001
1.13,21.357161846676604,-1.380251895,6.986666666666666,-1.1908926716666666,29.03333333333333,1279.0,767.8133333333334,520.78,7.4,3.55,33.666666666666664,19.0,1.24,48.33333333333334,21.0,17.0,30.8,27.96666666666667,1757.0,7.327524388333334,118.13666666666666,1115.0,41.5,25.37333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.28906357
1.3776923076923075,31.1072453705717,-3.1248025016666663,11.432307692307694,-3.5872564465384618,17.23846153846154,2837.9230769230767,1077.9876923076922,424.3,7.4,4.15,91.15384615384616,48.0,1.47,83.15384615384616,21.0,17.0,23.1,21.00769230769231,3200.0,6.354301045923076,283.3130769230769,1357.77,71.83333333333334,16.653846153846153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86050991
1.655,5.5985638343967,-6.777176268333332,16.0275,-6.8529794875,12.7,3034.0,1662.3675,1246.53,26.0,4.7625,149.0,115.0,1.75,186.375,70.5,76.0,23.1,13.5,3200.0,5.7791202485,344.225,2180.0,179.16666666666663,12.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1151719
1.665,5.5985638343967,-6.370432208333334,14.23,-6.5479214425,12.625,3081.5,1570.1175,877.53,26.0,4.8325,151.5,82.0,1.77,174.375,70.5,76.0,23.1,15.225,3200.0,5.760381763250001,346.725,1811.0,163.16666666666666,12.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8807322
1.422,4.7644825856100015,-3.71303897,11.866,-3.7195158,14.68,2955.2,1103.19,424.3,26.0,4.300000000000002,101.6,48.0,1.47,91.9,70.5,76.0,23.1,20.46,3200.0,6.128479079600001,294.68,1357.77,97.25,14.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.134362
1.7525,3.4877666901934,-8.311869285,34.3775,-8.5801903675,14.750000000000002,4415.75,2539.5,798.0,44.0,5.1125,267.5,210.0,1.83,427.25,110.0,110.0,8.6,6.950000000000001,4701.0,6.23691486775,528.985,2739.0,321.5,15.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.4639072
1.5933333333333333,4.381720051911398,-6.2648326834466666,15.265,-6.2648326834466666,14.633333333333336,3074.666666666666,1497.956666666667,1107.93,26.0,4.766666666666668,142.0,78.0,1.78,147.83333333333334,70.5,76.0,23.1,17.866666666666667,4098.0,6.070920194666666,340.3300000000001,2041.4,147.83333333333334,14.166666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9125568
1.585,1.2339610107756993,-4.8869664,16.442500000000006,-4.8869664,15.85,3445.0,1487.435,1107.93,26.0,4.925000000000002,153.0,61.0,1.78,122.75,70.5,76.0,23.1,15.95,4098.0,6.3465805445,400.625,2041.4,122.75,15.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.17776
1.6966666666666668,1.8840902878964003,-8.0812254425,26.29,-9.526492883333336,15.333333333333332,4843.333333333333,2617.1566666666668,2525.53,26.0,4.866666666666667,272.0,178.0,1.85,330.8333333333333,70.5,76.0,23.1,11.833333333333336,5869.0,6.28082904,568.3333333333334,3459.0,265.75,15.506666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0963887
1.5366666666666666,3.0265501082098005,-6.470028345,20.00333333333333,-5.5618266033333335,15.733333333333334,3335.666666666666,1491.3133333333335,1673.53,26.0,4.6000000000000005,124.0,173.0,1.83,190.3333333333333,70.5,76.0,23.1,17.533333333333335,4423.0,6.332741421333332,383.1233333333333,2607.0,250.25,15.916666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3172482
1.4233333333333331,11.4414365092915,-6.408523260000001,16.486666666666668,-5.500321518333332,18.933333333333334,3167.4999999999995,1505.9016666666666,1673.53,26.0,4.083333333333334,93.66666666666666,173.0,1.83,133.58333333333334,70.5,57.0,23.1,15.950000000000005,4423.0,6.605220802333333,341.62833333333333,2607.0,193.5,18.17833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9486203
1.44,0.0,-4.650889115,24.44,-4.650889115,21.5,887.0,1090.0,0.0,0.0,4.8,22.0,0.0,1.44,39.0,39.0,22.0,15.4,15.4,887.0,6.725130247,32.4,1090.0,39.0,19.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.83306505
1.4007692307692308,21.183270950619704,-4.630225905,11.65153846153846,-3.934661847307692,16.376923076923074,2981.076923076924,1130.603076923077,865.53,26.0,4.2,93.0,48.0,1.47,86.49230769230768,64.4,41.0,23.1,20.161538461538463,3618.0,6.328215700384615,301.6692307692308,1799.0,86.30000000000003,16.323846153846155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7980189
0.27,18527.227884814707,-3.3401570825,2.52,-3.81236869,32.46666666666667,774.4000000000002,369.86666666666673,945.2,4.9,0.7733333333333333,3.2,4.9,0.81,4.333333333333333,13.0,9.6,780.0,526.8666666666667,2143.0,6.615847386,49.00726666666666,1000.0,6.5,26.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.933
1.56875,7.803673251014301,-7.22274162767,26.8975,-7.6721975333375,15.125,2648.625,1582.0,168.0,78.0,4.54375,112.5,78.0,1.61,184.5,162.0,100.0,21.7,14.5375,3173.0,5.759799438625,271.9625,1687.0,180.0,12.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0602356
1.459090909090909,28.7886368338589,-5.407253006666667,35.54,-5.721700592272727,24.31818181818182,3342.454545454545,1913.5454545454545,1624.0,7.4,4.422727272727274,157.36363636363637,210.0,1.83,258.45454545454544,21.0,17.0,22.3,9.354545454545455,4701.0,6.767400327545454,377.66636363636366,2739.0,238.66666666666663,20.67454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.56364309999998
1.5766666666666669,7.9234402427192,-7.4653172725,40.473333333333336,-6.7851841833333335,17.333333333333336,3096.666666666667,1851.333333333333,493.0,115.0,4.683333333333334,120.0,115.0,1.73,194.3333333333333,162.0,100.0,4.9,3.3666666666666667,3173.0,5.984355352000001,352.5,2180.0,210.5,13.463333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.4284062
1.785,1.3523302191896,-9.84730961,38.39,-10.34670869,15.075,4859.25,2856.75,157.0,20.0,4.875,252.5,210.0,1.83,374.75,322.0,230.0,6.4,5.199999999999998,4912.0,6.271982041999999,583.6949999999998,2896.0,427.5,15.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.1683605
1.3233333333333337,18.4140584742468,-6.229453263333332,15.33222222222222,-6.025920842222222,24.61111111111111,2830.222222222222,1611.3955555555551,910.22,20.0,3.6922222222222216,66.22222222222221,82.0,1.77,91.66666666666666,67.0,42.0,11.8,10.422222222222222,3134.0,7.0206498816666665,257.13777777777784,1814.0,119.33333333333331,22.012222222222217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00817753
1.2833333333333334,21.235847912977302,-6.289148825,13.525555555555556,-6.145311965555557,29.944444444444446,3173.555555555556,1601.3955555555551,907.22,20.0,3.658888888888889,55.55555555555557,82.0,1.77,81.26666666666667,64.4,41.0,11.8,11.288888888888891,3618.0,7.661914441,316.13777777777784,1811.0,114.13333333333333,28.898888888888887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.89759778
1.2999999999999998,16.418788365009707,-5.1050114475,11.05,-5.1050114475,24.75,3205.0,1366.235,865.53,26.0,3.7,58.5,26.0,1.39,67.45,64.4,41.0,23.1,17.200000000000006,3618.0,7.2564845895,342.05,1799.0,67.45,24.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58313418
1.2999999999999998,16.418788365009707,-5.1050114475,11.05,-5.1050114475,24.75,3205.0,1366.235,865.53,26.0,3.7,58.5,26.0,1.39,67.45,64.4,41.0,23.1,17.200000000000006,3618.0,7.2564845895,342.05,1799.0,67.45,24.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.87707147
1.345,16.418788365009707,-5.1050114475,10.88,-4.42521728375,20.675,2998.5,1149.8525,865.53,26.0,3.95,67.25,26.0,1.39,68.975,64.4,41.0,23.1,20.15,3618.0,6.862764359750002,316.425,1799.0,67.45,20.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31744648
1.545,0.6892535423256021,-5.492459865,13.35,-5.492459865,17.25,3344.5,1639.165,603.6700000000002,27.0,4.475,165.0,44.0,1.57,94.15,78.3,110.0,14.2,11.4,3560.0,6.4517855665,374.815,1941.0,94.15,16.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2811928
1.652,9.903956524867011,-6.9241801125,21.158,-7.558008396,14.1,4107.4,2274.0,1190.0,38.0,4.449999999999998,154.0,132.0,1.67,182.8,104.0,130.0,11.3,8.9,5017.0,5.974409389,532.86,2750.0,202.5,14.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1096772
1.6625,9.903956524867011,-6.9241801125,13.42125,-5.33960940375,10.6,3311.5,1857.5,1190.0,38.0,4.8,140.0,132.0,1.67,251.75,104.0,130.0,11.3,10.3,5017.0,5.404447526249999,395.275,2750.0,202.5,10.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.7109861
1.73,6.612157774163709,-8.08603323,16.62333333333333,-6.642368385000001,10.3,3785.0,2193.0,1899.0,132.0,5.1,210.0,178.0,1.85,354.33333333333326,301.0,130.0,11.3,9.6,5869.0,5.393795105,433.7000000000001,3459.0,381.0,10.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.3043588
1.715,5.62733335529771,-5.5043421075,17.2425,-5.5043421075,9.8,3355.5,1898.5,677.0,132.0,5.225,255.0,150.0,1.76,315.5,301.0,130.0,11.3,9.75,3968.0,5.5309107305000005,396.195,2237.0,315.5,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5827595
1.6033333333333333,16.911134463141803,-5.0202758925,8.929166666666664,-4.1767844275,10.9,2803.0,1602.333333333333,254.0,29.0,4.75,117.83333333333331,132.0,1.67,264.1666666666667,80.0,57.0,11.3,11.083333333333332,3103.0,5.344781293333333,298.3,1814.0,190.5,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4711441
1.643333333333333,9.948553103734106,-7.8032191174999985,27.01166666666667,-9.152612591666667,14.433333333333335,4735.0,2713.333333333333,1730.0,69.0,4.383333333333333,176.66666666666669,132.0,1.67,222.3333333333333,183.0,130.0,11.3,7.966666666666668,5731.0,6.078108796,590.3333333333333,3290.0,242.0,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.8179921
1.66,5.74672176553041,-6.3471496925,12.43,-5.483112693333332,10.0,3055.333333333333,1767.6666666666663,623.0,47.0,4.783333333333333,140.0,132.0,1.67,243.66666666666663,129.0,130.0,11.3,10.333333333333334,3680.0,5.307058265333335,346.9,2183.0,215.0,9.536666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0568703
1.7166666666666668,7.760557968545309,-8.3569196575,22.7,-6.822959336666668,10.666666666666666,3771.333333333334,2271.666666666667,2135.0,132.0,4.966666666666667,190.0,161.0,1.81,334.3333333333333,301.0,130.0,11.3,9.033333333333337,5828.0,5.450291773666667,338.86,3695.0,351.0,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9966896
1.075,18.3254452328414,-1.099217563707,5.4175,-1.099217563707,33.95,1193.365,674.66,880.6800000000002,7.4,3.375,21.0,7.4,1.24,21.5,21.0,17.0,49.0,35.65,1757.0,7.739429817,106.985,1115.0,21.5,29.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.02446618
1.13,18.3254452328414,-1.099217563707,4.376666666666666,-0.8161802299426667,30.56666666666667,1005.4866666666668,527.88,880.6800000000002,7.4,3.65,22.333333333333336,7.4,1.24,21.666666666666664,21.0,17.0,49.0,40.1,1757.0,7.524894908999999,91.09,1115.0,21.5,27.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53103878
1.042,18.3254452328414,-1.099217563707,6.042000000000001,-1.2690399639656,35.98000000000001,1306.092,762.7280000000001,880.6800000000002,7.4,3.21,20.2,7.4,1.24,21.4,21.0,17.0,49.0,32.980000000000004,1757.0,7.868150761800001,116.522,1115.0,21.5,31.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.37928172
1.55,10.860760449978898,-7.56701227,27.61,-7.56701227,19.35,3902.0,2276.5,925.0,29.0,4.4,188.5,210.0,1.83,306.5,80.0,57.0,10.0,8.2,4701.0,6.622485263500001,434.19000000000005,2739.0,306.5,18.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6812496
1.31,6.975424910824098,-2.945835635804667,6.2375,-2.271903117457,21.675,1464.865,750.965,1706.68,19.0,4.0625,50.5,44.0,1.52,54.0,22.0,25.0,49.0,34.35,3560.0,6.8625630045,160.9175,1941.0,64.66666666666666,20.2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.69604024
1.6625,3.303746711753101,-7.615548050000001,20.055,-6.37666131,15.55,3681.25,2058.5375,921.95,38.0,5.1000000000000005,177.5,44.0,1.67,121.25,104.0,170.0,11.8,10.675,5017.0,6.261743378999999,467.5,2750.0,115.5,15.3975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0772135
1.41,31.9413266193584,-4.258047276666666,11.444166666666666,-4.151492994583333,17.975,2773.75,1087.6858333333332,834.53,7.4,4.2125,88.41666666666666,75.0,1.75,89.29166666666666,21.0,17.0,23.1,21.35,3200.0,6.468255656250001,293.2058333333333,1768.0,99.83333333333331,17.498333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50446971
1.2933333333333332,15.136843330164702,-3.06132474,9.743333333333332,-3.06132474,20.73333333333333,2479.333333333333,928.6166666666668,852.69,17.0,4.016666666666668,81.0,48.0,1.47,72.8,44.4,45.0,24.8,21.1,3200.0,6.720610727666668,239.49,1357.77,72.8,19.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.14753314
